PreprintID,PublicationID,Match
/10.1101/188524,10.1063/1.5004606,1
/10.1101/188524,10.1063/1.5004606,1
/10.1101/783175,10.1093/cercor/bhaa085,1
/10.1101/2020.06.30.176537,10.1155/2020/2837670,1
/10.1101/2020.06.30.176537,10.1155/2020/2837670,1
/10.31234/osf.io/f89va,10.3389/fpsyg.2021.627301,1
/10.31234/osf.io/f89va,10.3389/fpsyg.2021.627301,1
/10.31234/osf.io/f89va,10.3389/fpsyg.2021.627301,1
/10.1101/2019.12.25.888305,10.1186/s12859-021-04240-2,1
/10.1101/2019.12.25.888305,10.1186/s12859-021-04240-2,1
/10.1101/2019.12.25.888305,10.1186/s12859-021-04240-2,1
/10.5194/acp-2021-68,10.5194/acp-21-14059-2021,1
/10.1101/220848,10.1371/journal.pcbi.1006142,1
/10.1101/2020.02.11.944041,10.1093/ije/dyab107,1
/10.1101/615666,10.1038/s41477-019-0489-6,1
/10.1101/615666,10.1038/s41477-019-0489-6,1
/10.26434/chemrxiv.13087553,10.1021/acs.inorgchem.0c03239,1
/10.26434/chemrxiv.13087553,10.1021/acs.inorgchem.0c03239,1
/10.26434/chemrxiv.13087553.v1,10.1021/acs.inorgchem.0c03239,1
/10.26434/chemrxiv.13087553.v1,10.1021/acs.inorgchem.0c03239,1
/10.1101/104646,10.1371/journal.ppat.1006483,1
/10.1101/104646,10.1371/journal.ppat.1006483,1
/10.1101/19004929,10.1016/j.drugpo.2020.102688,1
/10.21203/rs.3.rs-33624/v2,10.1186/s13023-020-01614-2,1
/10.21203/rs.3.rs-33624/v1,10.1186/s13023-020-01614-2,1
/10.1101/2021.06.22.449249,10.1126/science.abg7071,1
/10.1101/201475,10.1371/journal.ppat.1006995,1
/10.1101/201475,10.1371/journal.ppat.1006995,1
/10.1101/201475,10.1371/journal.ppat.1006995,1
/10.21203/rs.2.23944/v1,10.1186/s12879-020-05158-5,1
/10.26434/chemrxiv-2021-7xpm9,10.1016/j.jeurceramsoc.2021.12.043,1
/10.26434/chemrxiv-2021-7xpm9,10.1016/j.jeurceramsoc.2021.12.043,1
/10.26434/chemrxiv-2021-7xpm9,10.1016/j.jeurceramsoc.2021.12.043,1
/10.33774/chemrxiv-2021-7xpm9,10.1016/j.jeurceramsoc.2021.12.043,1
/10.33774/chemrxiv-2021-7xpm9,10.1016/j.jeurceramsoc.2021.12.043,1
/10.33774/chemrxiv-2021-7xpm9,10.1016/j.jeurceramsoc.2021.12.043,1
/10.1101/2021.04.14.21255476,10.1186/s12889-021-11177-x,1
/10.21203/rs.3.rs-50922/v1,10.3390/life11121379,1
/10.21203/rs.2.23533/v3,10.1186/s12886-020-01527-5,1
/10.21203/rs.2.23533/v1,10.1186/s12886-020-01527-5,1
/10.21203/rs.2.23533/v2,10.1186/s12886-020-01527-5,1
/10.21203/rs.3.rs-52764/v2,10.1186/s12951-020-00718-y,1
/10.21203/rs.3.rs-52764/v1,10.1186/s12951-020-00718-y,1
/10.21203/rs.3.rs-125904/v1,10.1186/s13638-021-01945-z,1
/10.21203/rs.3.rs-73108/v2,10.1186/s12957-020-02103-3,1
/10.21203/rs.3.rs-73108/v3,10.1186/s12957-020-02103-3,1
/10.21203/rs.3.rs-73108/v1,10.1186/s12957-020-02103-3,1
/10.5194/essd-2020-86,10.5194/essd-12-2881-2020,1
/10.1101/2021.01.19.427199,10.1111/jfd.13367,1
/10.1101/310623,10.1186/s12859-019-3029-5,1
